Campaign_ID,Customer_ID,Date,Channel,Product,Campaign_Type,Location,Customer_Segment,Customer_Age,Marketing_Spend,Impressions,Clicks,Leads,Conversions,Revenue,Purchase_Frequency,Customer_Lifetime_Value
CMP_103,CUST_0122,2026-08-03,YouTube,Home Care,Retargeting,Kolkata,Premium,55,10517.943155978948,25916,641,164,12,13867.462330003795,2,2245.9324496104446
CMP_089,CUST_0475,2026-02-28,Email,Beverages,Product Launch,Delhi,Regular,24,42986.79231294927,317480,26244,10074,1009,1451672.4432986646,5,9786.554552176394
CMP_009,CUST_1370,2026-02-22,Meta Ads,Packaged Foods,Awareness,Hyderabad,Regular,21,26934.913434104154,134986,4625,2504,178,146387.97744227663,2,2740.976975943209
CMP_146,CUST_0730,2026-02-13,LinkedIn,Snacks,Product Launch,Chennai,Premium,33,94252.39944859796,226953,6302,1770,87,158488.42320059126,2,6492.061642732227
CMP_041,CUST_1181,2026-01-15,Meta Ads,Beverages,Product Launch,Hyderabad,Premium,52,20700.359210985236,165391,3565,1257,48,64091.911939505444,1,2223.610327910179
CMP_072,CUST_0780,2026-02-02,Meta Ads,Snacks,Awareness,Hyderabad,Budget,43,11038.043277172244,49581,1750,828,34,25618.50590301523,7,9972.793872985012
CMP_063,CUST_0864,2026-08-19,Instagram,Beverages,Conversion,Delhi,Premium,24,50160.17120230062,163985,5066,2338,140,189566.79913854887,11,25006.86878939924
CMP_134,CUST_0796,2026-01-28,YouTube,Snacks,Conversion,Kolkata,Regular,18,25751.841535599193,100027,1897,555,21,18386.39178402097,9,12832.244133212133
CMP_103,CUST_0710,2026-05-17,Google Ads,Packaged Foods,Seasonal,Mumbai,Budget,29,51058.84727910341,146508,5695,1759,107,87510.773300052,7,9501.737206598495
CMP_113,CUST_0002,2026-05-10,Google Ads,Home Care,Awareness,Mumbai,Budget,21,44048.51626523197,336487,17951,8764,482,414952.77790422476,7,12097.200573489683
CMP_139,CUST_0752,2026-05-24,Instagram,Beverages,Seasonal,Hyderabad,Regular,58,84353.7370809776,373482,16418,4199,263,240497.43205361138,1,1254.49157047147
CMP_042,CUST_0263,2026-09-09,Meta Ads,Beverages,Retargeting,Hyderabad,Premium,26,21620.71807411394,48682,1085,649,47,66180.28193223954,9,15239.63138726206
CMP_113,CUST_1444,2026-04-14,Instagram,Packaged Foods,Awareness,Hyderabad,Budget,33,62610.760667661045,508885,18593,4681,192,133680.790269155,9,6305.930933301657
CMP_145,CUST_0640,2026-02-02,YouTube,Beverages,Seasonal,Hyderabad,Budget,50,56541.321902715434,196386,3150,1437,58,35369.52660627802,5,3350.573313779936
CMP_046,CUST_1397,2026-01-06,Instagram,Packaged Foods,Retargeting,Mumbai,Premium,20,40165.07652426722,321062,11027,6487,374,492637.57437103614,2,4008.3601254812534
CMP_032,CUST_0854,2026-05-31,LinkedIn,Snacks,Retargeting,Chennai,Regular,43,18307.981447469785,62903,1656,817,44,58689.84016234247,3,5189.31757726443
CMP_036,CUST_0685,2026-01-20,Email,Packaged Foods,Conversion,Pune,Premium,39,66746.57342388769,189810,15713,5787,680,1207626.7616275884,3,8057.052943552485
CMP_049,CUST_0682,2026-09-28,LinkedIn,Home Care,Conversion,Delhi,Regular,47,39218.11093406998,242191,7471,2432,100,121532.40433726177,3,7911.249496697194
CMP_147,CUST_0657,2026-04-30,YouTube,Home Care,Conversion,Hyderabad,Regular,42,30729.06386989705,116019,2051,637,24,16876.53025843695,8,14333.06277286504
CMP_076,CUST_0154,2026-05-24,Google Ads,Home Care,Seasonal,Chennai,Premium,33,20071.41252603665,125717,5080,1437,95,128570.90123862344,10,31151.134858733734
CMP_101,CUST_0023,2026-09-07,Email,Packaged Foods,Awareness,Chennai,Regular,21,63505.75931496057,192686,15117,7090,699,944124.2462194685,8,24046.15727753287
CMP_124,CUST_0957,2026-06-28,Meta Ads,Beverages,Product Launch,Bangalore,Regular,52,82960.75019567576,254044,8194,2641,181,159974.42663024305,7,5802.430425009053
CMP_115,CUST_0617,2026-07-15,Email,Snacks,Conversion,Delhi,Regular,52,70824.58407573424,301443,25738,11370,1232,1619423.3460641077,4,7162.153729238657
CMP_013,CUST_0279,2026-08-05,LinkedIn,Home Care,Product Launch,Mumbai,Budget,58,27632.434478378047,112946,2685,1037,84,76621.09111059128,3,3008.8401541897456
CMP_144,CUST_0885,2026-03-10,YouTube,Packaged Foods,Retargeting,Delhi,Budget,56,32855.02331131613,143811,3375,1778,80,46037.11979906566,10,8722.135419382917
CMP_076,CUST_1033,2026-03-15,Email,Personal Care,Retargeting,Delhi,Budget,46,84511.56805255052,208122,16004,5247,696,588105.8761539164,5,5608.536202132956
CMP_071,CUST_0217,2026-05-12,Email,Beverages,Product Launch,Mumbai,Budget,62,38270.73343652979,108201,5618,2790,286,268676.84028119623,2,2993.855796356277
CMP_105,CUST_1025,2026-07-09,Meta Ads,Packaged Foods,Product Launch,Kolkata,Budget,38,43021.17482284236,154949,4688,1887,73,42632.250758956114,11,17541.538116104883
CMP_146,CUST_0047,2026-08-21,YouTube,Personal Care,Retargeting,Hyderabad,Premium,45,25596.865125716668,117858,2865,1634,57,55835.74852135817,4,6432.563518011778
CMP_041,CUST_0740,2026-07-11,Meta Ads,Packaged Foods,Conversion,Hyderabad,Premium,23,48057.88044873895,367796,9965,4593,178,189597.44963356885,2,3665.1359475176578
CMP_109,CUST_1029,2026-04-29,Email,Beverages,Conversion,Delhi,Regular,30,44069.23607561006,117015,9839,3757,394,561552.1825442854,1,1995.972964564312
CMP_095,CUST_0771,2026-01-23,Instagram,Beverages,Seasonal,Pune,Regular,18,78053.8044421485,180775,5899,2404,120,108340.43444989642,1,1773.8637459888703
CMP_118,CUST_0771,2026-09-25,Meta Ads,Packaged Foods,Conversion,Delhi,Regular,51,82556.64484524092,187871,5159,2049,178,167278.51117096256,4,6230.371398222563
CMP_133,CUST_0797,2026-05-18,Google Ads,Packaged Foods,Conversion,Bangalore,Premium,28,93025.82439034196,329413,14197,8418,436,693876.6009975674,3,7632.964486484009
CMP_096,CUST_1219,2026-06-04,Instagram,Packaged Foods,Product Launch,Mumbai,Budget,43,68417.98515949759,386836,12462,3887,164,105728.54706923751,2,1299.0621533144783
CMP_047,CUST_1145,2026-08-02,Meta Ads,Home Care,Retargeting,Mumbai,Regular,39,12767.108035142832,31270,1057,541,22,18280.790810723403,10,18827.31775674506
CMP_056,CUST_0883,2026-01-07,LinkedIn,Snacks,Seasonal,Delhi,Regular,56,70280.72301331646,176289,4170,1622,78,99786.8898353511,9,28088.007897505286
CMP_013,CUST_1236,2026-01-25,LinkedIn,Snacks,Product Launch,Mumbai,Premium,23,69514.72031872651,182728,3969,1738,88,157891.16302835537,4,14349.32838559374
CMP_121,CUST_1313,2026-05-30,Meta Ads,Personal Care,Retargeting,Kolkata,Regular,20,26406.615782690184,109767,3880,1089,68,70062.36663608706,3,2243.732989756177
CMP_004,CUST_0646,2026-04-28,Email,Packaged Foods,Conversion,Hyderabad,Budget,23,29500.768569269283,167244,14439,6423,762,799616.0299521463,10,12658.637830192632
CMP_140,CUST_0559,2026-01-01,Instagram,Packaged Foods,Awareness,Hyderabad,Premium,27,63008.9040319551,292726,8494,3553,207,229886.6844985341,5,5208.143618248759
CMP_063,CUST_0329,2026-09-30,YouTube,Snacks,Seasonal,Delhi,Premium,31,16086.126093459725,58252,1390,399,19,21374.614727335218,5,10340.028208471365
CMP_001,CUST_1320,2026-03-01,Google Ads,Snacks,Product Launch,Bangalore,Budget,43,84973.73379203584,511505,20965,6442,514,459169.40850267827,4,4413.862826683335
CMP_032,CUST_0422,2026-01-23,Meta Ads,Beverages,Conversion,Pune,Regular,23,46680.74416189221,150306,3690,1609,58,54287.85690490698,6,7375.248914676606
CMP_033,CUST_0478,2026-08-19,Instagram,Snacks,Product Launch,Pune,Budget,22,59449.33067945192,132333,5207,2720,164,114996.8899287676,11,14606.195973087415
CMP_136,CUST_1285,2026-06-06,LinkedIn,Home Care,Product Launch,Kolkata,Budget,28,26778.88254710094,74729,2111,1040,51,51996.707158247205,10,14514.057990637
CMP_141,CUST_0958,2026-07-29,LinkedIn,Snacks,Retargeting,Hyderabad,Regular,26,63088.15236629154,500793,15866,9089,421,619872.5258188118,6,7824.144815179882
CMP_046,CUST_1429,2026-04-20,LinkedIn,Beverages,Retargeting,Pune,Premium,26,22700.483551941466,57270,1166,384,14,26003.75007274857,10,40915.68130345411
CMP_025,CUST_0075,2026-07-29,Email,Snacks,Awareness,Bangalore,Budget,41,50679.51291846199,119784,8945,5093,559,475811.8880201091,1,1327.565276717134
CMP_049,CUST_0967,2026-03-25,Instagram,Snacks,Product Launch,Delhi,Premium,36,48603.95386161624,159928,5689,1789,113,128249.11135763432,1,989.2992645546711
CMP_115,CUST_1199,2026-07-13,LinkedIn,Personal Care,Conversion,Mumbai,Regular,27,55773.30966943846,200077,6196,1772,87,135640.88639046383,10,32558.843753689445
CMP_032,CUST_1202,2026-01-08,Meta Ads,Packaged Foods,Awareness,Pune,Budget,20,7574.119287830932,39193,1303,334,10,7627.30175169416,3,3867.078476280079
CMP_142,CUST_0735,2026-01-07,Meta Ads,Personal Care,Retargeting,Hyderabad,Premium,19,65157.87361654125,179573,5654,2806,205,240993.27592935832,3,6573.762611293007
CMP_137,CUST_1250,2026-02-22,YouTube,Packaged Foods,Seasonal,Kolkata,Regular,49,32974.247156482175,76154,1398,774,29,25297.27882723127,1,1218.0924181166913
CMP_103,CUST_1225,2026-09-03,Google Ads,Beverages,Conversion,Kolkata,Premium,51,66280.1459380863,255747,13412,7214,662,1006989.8269689226,1,2211.0487982259006
CMP_106,CUST_0342,2026-01-27,LinkedIn,Snacks,Product Launch,Pune,Premium,45,90501.77097556999,221609,6886,3324,180,339033.0063988992,10,28680.018593363588
CMP_036,CUST_1395,2026-01-29,Meta Ads,Packaged Foods,Retargeting,Mumbai,Budget,39,41983.08333398777,195026,7027,2487,94,68670.977404791,5,5475.543979337218
CMP_081,CUST_0958,2026-07-20,Meta Ads,Packaged Foods,Product Launch,Bangalore,Budget,20,78236.65935585309,504175,15533,6577,307,194012.48146829088,2,2914.6594422338076
CMP_101,CUST_1068,2026-01-17,YouTube,Personal Care,Conversion,Hyderabad,Budget,32,95272.54861297623,356583,7321,4067,118,67788.70368663469,11,15339.03285911473
CMP_026,CUST_0981,2026-03-27,Email,Snacks,Conversion,Pune,Premium,35,91971.38827086397,700989,46985,26947,3561,6884078.866083312,11,41007.46393116731
